Reference, Quantity, Value, Footprint, Datasheet, MANUFACTURER, PARTREV, STANDARD
BT1 ,1,"Battery_Cell","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
C1 ,1,"10uF","digikey-footprints:0805","~"
C24 ,1,"1uF","digikey-footprints:0805","~"
C2 C3 C4 C5 C25 C26 ,6,"100nF","digikey-footprints:0603","~"
Cf1 ,1,"3.3n","digikey-footprints:0603","~"
J1 ,1,"Conn_Coaxial","comp-lib:BNC_Header"," ~"
J2 ,1,"GX16-5P","comp-lib:GX16-5P","~"
JP1 ,1,"SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
R11 ,1,"33R","digikey-footprints:0603","~"
R1 R2 ,2,"R","digikey-footprints:0603","~"
R3 ,1,"10k","digikey-footprints:0603","~"
Ra1 Ra2 ,2,"1k","digikey-footprints:0603","~"
Rb1 Rb2 ,2,"100k","digikey-footprints:0603","~"
Rf1 ,1,"12M","digikey-footprints:0603","~"
SW1 ,1,"SW_DIP_x01","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
U1 ,1,"PC817","comp-lib:PC817","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
U4 ,1,"AD8606ARZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Analog Devices","O","IPC7351B"
U5 ,1,"TMUX1102D","Package_TO_SOT_SMD:SOT-23-5_HandSoldering",""