Reference, Quantity, Value, Footprint, Datasheet, DESCRIPTION, DIGI-KEY_PART_NUMBER, DIGI-KEY_PURCHASE_URL, MF, MP, PACKAGE, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
A1 ,1,"ESP32-WROVER-I","comp-lib:XCVR_ESP32-WROVER-I","","Module: combo; GPIO, I2C x2, I2S x2, SDIO, SPI x3, UART x3; U.FL","1904-1008-1-ND","https://www.digikey.com/product-detail/en/espressif-systems/ESP32-WROVER-I/1904-1008-1-ND/8544303?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","Espressif Systems","ESP32-WROVER-I","Module Espressif Systems","","","","","","","","",""
C1 C23 C24 ,3,"0.1uF","digikey-footprints:0603","~"
C9 C10 C18 ,3,"22uF","digikey-footprints:0805","~"
C12 ,1,"10uF","digikey-footprints:0805","~"
C15 ,1,"4.7uF","digikey-footprints:0805","~"
C16 ,1,"330pF","digikey-footprints:0603","~"
C5 C13 C17 C19 C21 C22 ,6,"100nF","digikey-footprints:0603","~"
C2 C6 C11 C14 C20 ,5,"1uF","digikey-footprints:0805","~"
C25 ,1,"100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
C3 ,1,"220uF","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~"
C4 ,1,"0.1uF","Capacitor_THT:C_Rect_L9.0mm_W3.8mm_P7.50mm_MKT","~"
C7 C8 ,2,"47uF","digikey-footprints:1206","~"
D1 ,1,"LED GREEN","digikey-footprints:0603","~"
D2 ,1,"LED BLUE","digikey-footprints:0603","~"
D3 ,1,"LED RED","digikey-footprints:0603","~"
F1 ,1,"Fuse","Fuse:Fuse_BelFuse_0ZRE0025FF_L9.6mm_W3.8mm","~"
H1 H2 ,2,"MountingHole_Pad","TestPoint:TestPoint_Plated_Hole_D3.0mm","~"
J1 ,1,"127V AC","comp-lib:AC-Input","~"
J2 ,1,"charge-amp-board","comp-lib:GX16-5P","~"
J3 ,1,"USB_B_Micro","Connector_USB:USB_Micro-AB_Molex_47590-0001","~"
J4 ,1,"Encoder","Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical","~"
J5 ,1,"Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
JP1 ,1,"SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
L1 ,1,"10 mH","comp-lib:UU9.8","~"
L2 ,1,"220Ω @ 100MHz 2 350mA 300mΩ","comp-lib:ACM3225-2P","~"
PS1 ,1,"HLK-PM01","Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx","http://www.hlktech.net/product_detail.php?ProId=54"
Q1 Q2 ,2,"MMSS8050-H-TP","digikey-footprints:SOT-23-3","https://www.mccsemi.com/pdf/Products/MMSS8050(SOT-23).pdf","","","","","","","Discrete Semiconductor Products","https://www.mccsemi.com/pdf/Products/MMSS8050(SOT-23).pdf","/product-detail/en/micro-commercial-co/MMSS8050-H-TP/MMSS8050-H-TPMSCT-ND/2825945","TRANS NPN 25V 1.5A SOT23","MMSS8050-H-TPMSCT-ND","Transistors - Bipolar (BJT) - Single","MMSS8050-H-TP","Micro Commercial Co","Active"
R1 R2 R3 R11 ,4,"560","digikey-footprints:0603","~"
R4 ,1,"2k","digikey-footprints:0603","~"
R6 ,1,"22k","digikey-footprints:0603","~"
R5 R7 R8 R10 ,4,"10k","digikey-footprints:0603","~"
R9 ,1,"47k","digikey-footprints:0603","~"
RV1 ,1,"Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~"
U1 ,1,"AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
U2 ,1,"ADS8689IPW","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/ads8681.pdf"
U3 ,1,"CP2102N-A01-GQFN24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"